literal	document	document_line_number	log_file	log_line_number	matched_text
1e-2	walkthrough.md	192	run_n4_pca_collapse_audit_stdout.txt	53	Damping Test: eps = 1e-2 at m = 128 ---
1e-4	walkthrough.md	192	audit_pca_grid_and_lasttok_stdout.txt	68	-Wolf (full rank) | 1e-4     |  58.67%
58.67	walkthrough.md	192	audit_pca_grid_and_lasttok_stdout.txt	61	| 1e-04    |  58.67%      |  49.33%
1e-2	walkthrough.md	192	run_n4_pca_collapse_audit_stdout.txt	53	Damping Test: eps = 1e-2 at m = 128 ---
64.33	walkthrough.md	192	run_k4_k5_k6_offline_bound_search_stdout.txt	46	Best Linear Test = 64.33%
+5.67	walkthrough.md	192	run_o6_reconcile_n4_m6_stdout.txt	64	-> eps=1e-2 (val): +5.67 pp
0.0	walkthrough.md	193	evaluate_m_phase_comprehensive_stdout.txt	133	ltinomialLogReg (wd=0.0)   |  79.60%
0.0	walkthrough.md	193	evaluate_m_phase_comprehensive_stdout.txt	133	ltinomialLogReg (wd=0.0)   |  79.60%
0.0001	walkthrough.md	193	audit_pca_grid_and_lasttok_stdout.txt	49	| 1e-04    |  33.33%      | [EXP_EQ: 1e-04]
0.0	walkthrough.md	193	evaluate_m_phase_comprehensive_stdout.txt	133	ltinomialLogReg (wd=0.0)   |  79.60%
82.20	walkthrough.md	194	run_o2_reproducibility_check_stdout.txt	43	, HONEST_TEST_ACC = 82.20%
82.20	walkthrough.md	194	run_o2_reproducibility_check_stdout.txt	43	, HONEST_TEST_ACC = 82.20%
0.40	walkthrough.md	194	run_k4_k5_k6_offline_bound_search_stdout.txt	77	| 15.53% +/- 0.40%   | 12.67% (determ
3.46	walkthrough.md	195	verify_all_numbers_stdout.txt	89	, '11.80', '2.22', '3.46', '3.60']
2.22	walkthrough.md	195	verify_all_numbers_stdout.txt	89	'0.2966', '11.80', '2.22', '3.46', '3.60']
1e-5	walkthrough.md	195	audit_representation_ablation_stdout.txt	50	ctors only (epsilon=1e-5).
10.24	walkthrough.md	196	build_report_tables_stdout.txt	13	% $\pm$ 1.99%** | **10.24% $\pm$ 0.30%** | **
47.60	walkthrough.md	196	build_report_tables_stdout.txt	10	| 44 | 47.60% | -39.11% | 39.11%
-37.36	walkthrough.md	196	verify_all_numbers_stdout.txt	89	'+5.40', '+65.90', '-37.36', '0.2966', '11.80'
10	walkthrough.md	196	audit_dataset_integrity_stdout.txt	116	Fact idx 10 (ID: A09): answer =
85.80	walkthrough.md	196	build_report_tables_stdout.txt	23	l Test Accuracy = **85.80%** (batch centroids
85.80	walkthrough.md	196	build_report_tables_stdout.txt	23	l Test Accuracy = **85.80%** (batch centroids
11.80	walkthrough.md	197	verify_all_numbers_stdout.txt	89	-37.36', '0.2966', '11.80', '2.22', '3.46', '
85.80	walkthrough.md	198	build_report_tables_stdout.txt	23	l Test Accuracy = **85.80%** (batch centroids
95.67	walkthrough.md	198	run_o2_reproducibility_check_stdout.txt	43	=0.0001), Val Acc = 95.67%, HONEST_TEST_ACC =
85.80	walkthrough.md	198	build_report_tables_stdout.txt	23	l Test Accuracy = **85.80%** (batch centroids
82.20	walkthrough.md	199	run_o2_reproducibility_check_stdout.txt	43	, HONEST_TEST_ACC = 82.20%
