literal	document	document_line_number	log_file	log_line_number	matched_text
3.46	walkthrough.md	410	verify_all_numbers_stdout.txt	89	, '11.80', '2.22', '3.46', '3.60']
100	walkthrough.md	454	audit_dataset_integrity_stdout.txt	6	Total facts: 100
100	walkthrough.md	467	audit_dataset_integrity_stdout.txt	6	Total facts: 100
100	walkthrough.md	474	audit_dataset_integrity_stdout.txt	6	Total facts: 100
1e-4	RESULTS.md	1	audit_pca_grid_and_lasttok_stdout.txt	68	-Wolf (full rank) | 1e-4     |  58.67%
0.0001	RESULTS.md	1	audit_pca_grid_and_lasttok_stdout.txt	49	| 1e-04    |  33.33%      | [EXP_EQ: 1e-04]
82.20	RESULTS.md	1	run_o2_reproducibility_check_stdout.txt	43	, HONEST_TEST_ACC = 82.20%
85.80	RESULTS.md	30	build_report_tables_stdout.txt	23	l Test Accuracy = **85.80%** (batch centroids
79.80	RESULTS.md	31	build_report_tables_stdout.txt	13	% $\pm$ 0.30%** | **79.80% $\pm$ 0.76%** |
0.76	RESULTS.md	31	build_report_tables_stdout.txt	13	** | **79.80% $\pm$ 0.76%** |
79.80	RESULTS.md	32	build_report_tables_stdout.txt	13	% $\pm$ 0.30%** | **79.80% $\pm$ 0.76%** |
85.80	RESULTS.md	32	build_report_tables_stdout.txt	23	l Test Accuracy = **85.80%** (batch centroids
-6.00	RESULTS.md	32	verify_all_numbers_stdout.txt	103	[UNMAPPED LIST]: ['-6.00']
47.60	RESULTS.md	39	build_report_tables_stdout.txt	10	| 44 | 47.60% | -39.11% | 39.11%
1.93	RESULTS.md	39	build_report_tables_stdout.txt	13	** | **47.60% $\pm$ 1.93%** | **-42.09% $\pm
-42.09	RESULTS.md	39	build_report_tables_stdout.txt	13	% $\pm$ 1.93%** | **-42.09% $\pm$ 1.99%** | **
1.99	RESULTS.md	39	build_report_tables_stdout.txt	13	* | **-42.09% $\pm$ 1.99%** | **42.09% $\pm$
42.09	RESULTS.md	39	build_report_tables_stdout.txt	13	$\pm$ 1.93%** | **-42.09% $\pm$ 1.99%** | **
1.99	RESULTS.md	39	build_report_tables_stdout.txt	13	* | **-42.09% $\pm$ 1.99%** | **42.09% $\pm$
85.80	RESULTS.md	40	build_report_tables_stdout.txt	23	l Test Accuracy = **85.80%** (batch centroids
-8.22	RESULTS.md	40	build_report_tables_stdout.txt	24	text{BWT} = \mathbf{-8.22\%}$ | $\text{Forget
85.80	RESULTS.md	42	build_report_tables_stdout.txt	23	l Test Accuracy = **85.80%** (batch centroids
85.80	RESULTS.md	45	build_report_tables_stdout.txt	23	l Test Accuracy = **85.80%** (batch centroids
82.20	RESULTS.md	45	run_o2_reproducibility_check_stdout.txt	43	, HONEST_TEST_ACC = 82.20%
34.80	RESULTS.md	51	run_gate1_diagnostic_stdout.txt	41	iggered because J = 34.80% < 40.00%)
1.66	RESULTS.md	51	run_gate1_diagnostic_stdout.txt	48	: 34.80% +/- 1.66%
40.33	RESULTS.md	53	audit_pca_grid_and_lasttok_stdout.txt	62	|  42.33%      |  40.33%
27.33	RESULTS.md	55	audit_embedding_leakage_stdout.txt	57	Top-1 Accuracy    : 27.33% (0.2733)
29.00	RESULTS.md	55	audit_representation_ablation_stdout.txt	72	|  27.33%    |  29.00%    |  0.9281  |
53.78	RESULTS.md	55	evaluate_expanded_offline_bound_stdout.txt	45	|  29.00%    |  53.78%      |  79.33%
1.0	RESULTS.md	58	evaluate_disjoint_template_split_l5_l6_stdout.txt	44	ltinomialLogReg (wd=1.0)), Test Max =  9.40
46.00	RESULTS.md	58	run_k4_k5_k6_offline_bound_search_stdout.txt	104	.0) Test Accuracy = 46.00%
0.1	RESULTS.md	58	evaluate_disjoint_template_split_l5_l6_stdout.txt	42	= 85.67% (Ridge (wd=0.1)), Test Max = 77.80
64.33	RESULTS.md	58	run_k4_k5_k6_offline_bound_search_stdout.txt	46	Best Linear Test = 64.33%
0.001	RESULTS.md	60	evaluate_disjoint_template_split_l5_l6_stdout.txt	48	ltinomialLogReg (wd=0.001)), Test Max = 85.80
85.80	RESULTS.md	60	build_report_tables_stdout.txt	23	l Test Accuracy = **85.80%** (batch centroids
